0;0
0,35;0
0,37;-1
0,38;-1
0,39;-0,5
0,41;-0,5
0,415;2
0,42;4
0,425;6
0,43;10
0,435;14
0,44;16
0,445;18
0,455;18,5
0,465;18,5
0,47;18
0,48;16
0,485;14
0,49;12
0,497;10
0,5;9
0,51;7
0,53;7
0,535;8
0,545;10
0,55;11
0,56;11,6
0,57;12,25
0,59;12,25
0,61;10
0,62;8
0,625;7
0,64;6,5
0,66;6,5
0,67;7
0,68;8
0,69;9,2
0,7;9,6
0,707;13,3
0,717;13,3
0,74;8,5
0,75;8,5
0,76;8
0,77;8,5
0,79;10,8
0,8;9
0,81;9
0,815;13,5
0,825;13,5
0,84;14
0,89;11,2
0,91;10,6
0,93;10,6
0,94;10
0,945;12
0,96;13,5
0,965;11,5
0,975;11,3
0,99;11,7
1;11,3
1,03;11,3
1,04;10
1,045;11,3
1,06;11,3
1,07;9
1,08;10
1,09;12,8
1,1;11,3
1,11;11,7
1,115;10
1,13;7
1,14;12,3
1,15;12,3
1,16;10
1,17;11
